Food_id,Food,Quantity,Measure,weight,unit,prep,GI,Water,Water (DV),Energy,Energy (DV),"Protein
(8g x body 
weight)",Protein (DV),"Total lipid 
(fat)",Total lipid (DV),Carbs,Carbs (DV),Fiber,Fiber (DV),"Sugars, 
total",Sugar (DV),Boron,Boron (DV),Calcium,Calcium (DV),Chloride,Chloride (DV),Chromium,Chromium (DV),Copper,Copper (DV),Fluoride,Fluoride (DV),Iodine,Iodine (DV),Iron,Iron (DV),Magnesium,Magnesium (DV),Manganese,Manganese (DV),Molybdenum,Molybdenum (DV),"Phosphorus, P",Phosphorus (DV),"Potassium, K",Potassium (DV),Selenium,Selenium (DV),Sodium,Sodium (DV),Zinc,Zinc (DV),Thiamin-B1,Thiamin-1 (DV),Riboflavin-B2,Riboflavin (DV),Niacin-B3,Niacin -B3 (DV),B-6,B-6 (DV),B-12,B12 (DV),Biotin-B7,Biotin-B7 (DV),Choline,"Choline
 (DV)","Folate, 
(B9)",Folate (DV),Pantothenic,"Pantothenic
 (DV)",Vitamin-C,Vitamin-C (DV),"Vitamin-A, 
RAE",Vitamin-A (DV),"Vitamin-D
 (IU)",Vitamin-D (DV),"Vitamin E 
(ATEl)",Vitamin E ATE-(DV),"Fatty acids, 
total saturated",Fatty saturated (DV),"Fatty acids, 
total mono","Fatty acids, 
total mono (DV)","Fatty acids, 
total poly","Fatty acids, 
total poly (DV)","Fatty acids, 
total trans","Fatty acids (DV)
total trans",Cholesterol,"Cholesterol 
(DV)",omega-3,"omega-3
(DV)",omega-6,"omega-6 
(DV)",Alanine,Arginine,Aspartic Acid,Cystenine,Glutamic Acid,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine
144,Karela_p4_cup,0.4,cup,50,grams,cooked,low,46.975,0.0234875,9.5,0.00475,0.42,0.0075,0.09,0.001111111,2.16,0.0072,1,0.04,0.975,0.0195,0,0,4.5,0.0045,0,0,0,0,0.015,0.016666667,0,0,0,0,0.19,0.010555556,8,0.02,0.045,0.0225,0,0,18,0.025714286,159.5,0.045571429,0.1,0.001818182,3,0.002,0.385,0.035,0.025,0.020833333,0.025,0.019230769,0.14,0.00875,0.02,0.011764706,0,0,0,0,5.4,0.012705882,25.5,0.06375,0.095,0.019,16.5,0.22,2.825,0.003138889,0,0,0.07,0.004666667,0.005,0.000227273,0.015,0.000882353,0.04,0.002352941,0,0,0,0,0,0,0.04,0.005555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Beet_greens_1_cup,1,cup,144,grams,boiled,low,128.35,0.064175,38.8,0.0194,3.7,0.066071429,0.29,0.003580247,7.86,0.0262,4.18,0.1672,0.86,0.0172,0,0,164,0.164,0,0,0,0,0.36,0.4,0,0,0,0,2.74,0.152222222,97.92,0.2448,0.74,0.37,0,0,59,0.084285714,1308.96,0.373988571,1.3,0.023636364,347.04,0.23136,0.72,0.065454545,0.17,0.141666667,0.42,0.323076923,0.72,0.045,0.19,0.111764706,0,0,0,0,0.72,0.001694118,20.16,0.0504,0.47,0.094,35.86,0.478133333,551,0.612222222,0,0,2.61,0.174,0.04,0.001818182,0.05,0.002941176,0.1,0.005882353,0,0,0,0,0.01,0.004166667,0.09,0.0125,0.14,0.11,0.22,0.03,0.45,0.14,0.06,0.08,0.17,0.11,0.03,0.1,0.09,0.12,0.11,0.06,0.09,0.11
146,Beet_greens_p5_cup,0.5,cup,72,grams,boiled,low,64.175,0.0320875,19.4,0.0097,1.85,0.033035714,0.145,0.001790123,3.93,0.0131,2.09,0.0836,0.43,0.0086,0,0,82,0.082,0,0,0,0,0.18,0.2,0,0,0,0,1.37,0.076111111,48.96,0.1224,0.37,0.185,0,0,29.5,0.042142857,654.48,0.186994286,0.65,0.011818182,173.52,0.11568,0.36,0.032727273,0.085,0.070833333,0.21,0.161538462,0.36,0.0225,0.095,0.055882353,0,0,0,0,0.36,0.000847059,10.08,0.0252,0.235,0.047,17.93,0.239066667,275.5,0.306111111,0,0,1.305,0.087,0.02,0.000909091,0.025,0.001470588,0.05,0.002941176,0,0,0,0,0.005,0.002083333,0.045,0.00625,0.07,0.055,0.11,0.015,0.225,0.07,0.03,0.04,0.085,0.055,0.015,0.05,0.045,0.06,0.055,0.03,0.045,0.055
147,Beet_greens_p25_cup,0.5,cup,36,grams,boiled,low,32.0875,0.01604375,9.7,0.00485,0.925,0.016517857,0.0725,0.000895062,1.965,0.00655,1.045,0.0418,0.215,0.0043,0,0,41,0.041,0,0,0,0,0.09,0.1,0,0,0,0,0.685,0.038055556,24.48,0.0612,0.185,0.0925,0,0,14.75,0.021071429,327.24,0.093497143,0.325,0.005909091,86.76,0.05784,0.18,0.016363636,0.0425,0.035416667,0.105,0.080769231,0.18,0.01125,0.0475,0.027941176,0,0,0,0,0.18,0.000423529,5.04,0.0126,0.1175,0.0235,8.965,0.119533333,137.75,0.153055556,0,0,0.6525,0.0435,0.01,0.000454545,0.0125,0.000735294,0.025,0.001470588,0,0,0,0,0.0025,0.001041667,0.0225,0.003125,0.035,0.0275,0.055,0.0075,0.1125,0.035,0.015,0.02,0.0425,0.0275,0.0075,0.025,0.0225,0.03,0.0275,0.015,0.0225,0.0275
148,Turnip_greens_1_cup,1,cup,144,grams,cooked,very low,134.21,0.067105,28.8,0.0144,1.64,0.029285714,0.33,0.004074074,6.28,0.020933333,5.04,0.2016,0.76,0.0152,0,0,197.28,0.19728,21.6,0.0108,0,0,0.36,0.4,0,0,0,0,1.15,0.063888889,31.68,0.0792,0.49,0.245,0,0,41.76,0.059657143,292.32,0.08352,1.3,0.023636364,41.76,0.02784,0.2,0.018181818,0.06,0.05,0.1,0.076923077,0.59,0.036875,0.26,0.152941176,0,0,0.58,0.019333333,0.43,0.001011765,169.92,0.4248,0.39,0.078,39.46,0.526133333,549,0.61,0,0,2.71,0.180666667,0.08,0.003636364,0.02,0.001176471,0.13,0.007647059,0,0,0,0,0.09,0.0375,0.04,0.005555556,0.11,0.1,0.17,0.02,0.22,0.1,0.04,0.08,0.15,0.1,0.04,0.1,0.08,0.07,0.09,0.03,0.06,0.11
149,Turnip_greens_p5_cup,0.5,cup,72,grams,cooked,very low,67.105,0.0335525,14.4,0.0072,0.82,0.014642857,0.165,0.002037037,3.14,0.010466667,2.52,0.1008,0.38,0.0076,0,0,98.64,0.09864,10.8,0.0054,0,0,0.18,0.2,0,0,0,0,0.575,0.031944444,15.84,0.0396,0.245,0.1225,0,0,20.88,0.029828571,146.16,0.04176,0.65,0.011818182,20.88,0.01392,0.1,0.009090909,0.03,0.025,0.05,0.038461538,0.295,0.0184375,0.13,0.076470588,0,0,0.29,0.009666667,0.215,0.000505882,84.96,0.2124,0.195,0.039,19.73,0.263066667,274.5,0.305,0,0,1.355,0.090333333,0.04,0.001818182,0.01,0.000588235,0.065,0.003823529,0,0,0,0,0.045,0.01875,0.02,0.002777778,0.055,0.05,0.085,0.01,0.11,0.05,0.02,0.04,0.075,0.05,0.02,0.05,0.04,0.035,0.045,0.015,0.03,0.055
150,Ridge_gourd_1_cup,1,cup,100,grams,cooked,low,93.8,0.0469,84,0.042,1.2,0.021428571,0.2,0.002469136,4.35,0.0145,1.1,0.044,2.02,0.0404,0,0,20,0.02,0,0,0,0,0.035,0.038888889,0,0,0,0,0.36,0.02,14,0.035,0.092,0.046,0,0,32,0.045714286,139,0.039714286,0.2,0.003636364,3,0.002,0.07,0.006363636,0.05,0.041666667,0.06,0.046153846,0.4,0.025,0.043,0.025294118,0,0,0,0,0,0,7,0.0175,0.218,0.0436,12,0.16,123,0.136666667,0,0,0.1,0.006666667,0.016,0.000727273,0.037,0.002176471,0.087,0.005117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Ridge_gourd_p5_cup,0.5,cup,50,grams,cooked,low,46.9,0.02345,42,0.021,0.6,0.010714286,0.1,0.001234568,2.175,0.00725,0.55,0.022,1.01,0.0202,0,0,10,0.01,0,0,0,0,0.0175,0.019444444,0,0,0,0,0.18,0.01,7,0.0175,0.046,0.023,0,0,16,0.022857143,69.5,0.019857143,0.1,0.001818182,1.5,0.001,0.035,0.003181818,0.025,0.020833333,0.03,0.023076923,0.2,0.0125,0.0215,0.012647059,0,0,0,0,0,0,3.5,0.00875,0.109,0.0218,6,0.08,61.5,0.068333333,0,0,0.05,0.003333333,0.008,0.000363636,0.0185,0.001088235,0.0435,0.002558824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Pumpkin_p4_cup,0.4,cup,100,grams,cooked,low,93.31,0.046655,20,0.01,0.72,0.012857143,0.07,0.000864198,4.88,0.016266667,1.1,0.044,2.07,0.0414,0,0,15,0.015,0,0,0,0,0.09,0.1,0,0,0,0,0.57,0.031666667,9,0.0225,0,0,0,0,30,0.042857143,229,0.065428571,0.2,0.003636364,159,0.106,0.23,0.020909091,0.03,0.025,0.08,0.061538462,0.41,0.025625,0.04,0.023529412,0,0,0,0,6.2,0.014588235,9,0.0225,0,0,4.7,0.062666667,287,0.318888889,0,0,0.8,0.053333333,0.04,0.001818182,0.01,0.000588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Chayote_1_cup,1,cup,100,grams,cooked,low,93.4,0.0467,24,0.012,0.62,0.011071429,0.48,0.005925926,5.09,0.016966667,2.8,0.112,1.89,0.0378,0,0,13,0.013,0,0,0,0,0.11,0.122222222,0,0,0,0,0.22,0.012222222,12,0.03,0.169,0.0845,0,0,29,0.041428571,173,0.049428571,0.3,0.005454545,1,0.000666667,0.31,0.028181818,0.026,0.021666667,0.04,0.030769231,0.42,0.02625,0.118,0.069411765,0,0,0,0,10.5,0.024705882,18,0.045,0.408,0.0816,8,0.106666667,0,0,0,0,0.14,0.009333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.026,0.069,0,0.094,0.031,0.011,0.033,0.058,0.03,0.001,0.036,0.033,0.035,0.031,0.008,0.024,0.047
154,Chayote_p5_cup,0.5,cup,50,grams,cooked,low,46.7,0.02335,12,0.006,0.31,0.005535714,0.24,0.002962963,2.545,0.008483333,1.4,0.056,0.945,0.0189,0,0,6.5,0.0065,0,0,0,0,0.055,0.061111111,0,0,0,0,0.11,0.006111111,6,0.015,0.0845,0.04225,0,0,14.5,0.020714286,86.5,0.024714286,0.15,0.002727273,0.5,0.000333333,0.155,0.014090909,0.013,0.010833333,0.02,0.015384615,0.21,0.013125,0.059,0.034705882,0,0,0,0,5.25,0.012352941,9,0.0225,0.204,0.0408,4,0.053333333,0,0,0,0,0.07,0.004666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0.013,0.0345,0,0.047,0.0155,0.0055,0.0165,0.029,0.015,0.0005,0.018,0.0165,0.0175,0.0155,0.004,0.012,0.0235
155,Zucchini_p5_cup,0.5,cup,100,grams,cooked,low,95.22,0.04761,15,0.0075,1.14,0.020357143,0.36,0.004444444,2.69,0.008966667,0.99,0.0396,1.7,0.034,0,0,18,0.018,0,0,0,0,0.05,0.055555556,0,0,0,0,0.37,0.020555556,19,0.0475,0.17,0.085,0,0,37,0.052857143,264,0.075428571,0.2,0.003636364,3,0.002,0.33,0.03,0.04,0.033333333,0.02,0.015384615,0.51,0.031875,0.08,0.047058824,0,0,0,0,9.4,0.022117647,28,0.07,0.29,0.058,12.9,0.172,56,0.062222222,0,0,0.12,0.008,0.07,0.003181818,0.03,0.001764706,0.15,0.008823529,0,0,0,0,0.09,0.0375,0.06,0.008333333,0.03,0.03,0.08,0.01,0.07,0.02,0.01,0.02,0.04,0.04,0.01,0.02,0.02,0.03,0.02,0.01,0.02,0.03
156,Zucchini_p25_cup,0.25,cup,50,grams,cooked,low,47.61,0.023805,7.5,0.00375,0.57,0.010178571,0.18,0.002222222,1.345,0.004483333,0.495,0.0198,0.85,0.017,0,0,9,0.009,0,0,0,0,0.025,0.027777778,0,0,0,0,0.185,0.010277778,9.5,0.02375,0.085,0.0425,0,0,18.5,0.026428571,132,0.037714286,0.1,0.001818182,1.5,0.001,0.165,0.015,0.02,0.016666667,0.01,0.007692308,0.255,0.0159375,0.04,0.023529412,0,0,0,0,4.7,0.011058824,14,0.035,0.145,0.029,6.45,0.086,28,0.031111111,0,0,0.06,0.004,0.035,0.001590909,0.015,0.000882353,0.075,0.004411765,0,0,0,0,0.045,0.01875,0.03,0.004166667,0.015,0.015,0.04,0.005,0.035,0.01,0.005,0.01,0.02,0.02,0.005,0.01,0.01,0.015,0.01,0.005,0.01,0.015
157,Grape _leaves_p5_cup,0.5,cup,50,grams,canned,low,38.05,0.019025,34.5,0.01725,2.135,0.038125,0.985,0.012160494,5.855,0.019516667,4.95,0.198,0,0,0,0,144.5,0.1445,0,0,0,0,0.92,1.022222222,0,0,0,0,1.49,0.082777778,7,0.0175,0.145,0.0725,0,0,17,0.024285714,14.5,0.004142857,0.45,0.008181818,1426.5,0.951,0.2,0.018181818,0.03,0.025,0.18,0.138461538,2.255,0.1409375,0.07,0.041176471,0,0,0,0,0,0,39,0.0975,2.135,0.427,5.65,0.075333333,131.5,0.146111111,0,0,0.895,0.059666667,0.155,0.007045455,0.04,0.002352941,0.495,0.029117647,0,0,0,0,0.42,0.175,0.075,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Grape_leaves_p25_cup,0.25,cup,25,grams,canned,low,19.025,0.0095125,17.25,0.008625,1.0675,0.0190625,0.4925,0.006080247,2.9275,0.009758333,2.475,0.099,0,0,0,0,72.25,0.07225,0,0,0,0,0.46,0.511111111,0,0,0,0,0.745,0.041388889,3.5,0.00875,0.0725,0.03625,0,0,8.5,0.012142857,7.25,0.002071429,0.225,0.004090909,713.25,0.4755,0.1,0.009090909,0.015,0.0125,0.09,0.069230769,1.1275,0.07046875,0.035,0.020588235,0,0,0,0,0,0,19.5,0.04875,1.0675,0.2135,2.825,0.037666667,65.75,0.073055556,0,0,0.4475,0.029833333,0.0775,0.003522727,0.02,0.001176471,0.2475,0.014558824,0,0,0,0,0.21,0.0875,0.0375,0.005208333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Grape _leaves_1_cup,1,cup,100,grams,canned,low,76.1,0.03805,69,0.0345,4.27,0.07625,1.97,0.024320988,11.71,0.039033333,9.9,0.396,0,0,0,0,289,0.289,0,0,0,0,1.84,2.044444444,0,0,0,0,2.98,0.165555556,14,0.035,0.29,0.145,0,0,34,0.048571429,29,0.008285714,0.9,0.016363636,2853,1.902,0.4,0.036363636,0.06,0.05,0.36,0.276923077,4.51,0.281875,0.14,0.082352941,0,0,0,0,0,0,78,0.195,4.27,0.854,11.3,0.150666667,263,0.292222222,0,0,1.79,0.119333333,0.31,0.014090909,0.08,0.004705882,0.99,0.058235294,0,0,0,0,0.84,0.35,0.15,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Green_olives_10,10,numbers,34,grams,fresh,low,75.28,0.03764,145,0.0725,1.03,0.018392857,15.32,0.189135802,0.54,0.0018,3.3,0.132,0.54,0.0108,0,0,52,0.052,0,0,0,0,0.12,0.133333333,0,0,0,0,0.49,0.027222222,11,0.0275,0,0,0,0,4,0.005714286,42,0.012,0.9,0.016363636,1556,1.037333333,0.04,0.003636364,0.02,0.016666667,0.01,0.007692308,0.24,0.015,0.03,0.017647059,0,0,0,0,14.2,0.033411765,3,0.0075,0,0,0,0,20,0.022222222,0,0,3.81,0.254,2.03,0.092272727,11.31,0.665294118,1.31,0.077058824,0,0,0,0,0.09,0.0375,1.22,0.169444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Black_olives_1_cup,1,cup,134,grams,fresh,very low,107.51,0.053755,154.56,0.07728,1.13,0.020178571,14.35,0.177160494,8.41,0.028033333,4.3,0.172,0,0,0,0,118.27,0.11827,0,0,0,0,0.34,0.377777778,0,0,0,0,4.44,0.246666667,5.38,0.01345,0.03,0.015,0,0,4.03,0.005757143,10.75,0.003071429,1.21,0.022,987.84,0.65856,0.3,0.027272727,0,0,0,0,0.05,0.003125,0.01,0.005882353,0,0,0,0,13.84,0.032564706,0,0,0.02,0.004,1.21,0.016133333,27.08,0.030088889,0,0,2.22,0.148,1.9,0.086363636,10.6,0.623529412,1.22,0.071764706,0,0,0,0,0.09,0.0375,1.14,0.158333333,0.06,0.09,0.12,0,0.12,0.07,0.03,0.04,0.07,0.04,0.02,0.04,0.05,0.04,0.03,0,0.03,0.05
162,Black_olives_p5_cup,0.5,cup,67,grams,fresh,very low,53.755,0.0268775,77.28,0.03864,0.565,0.010089286,7.175,0.088580247,4.205,0.014016667,2.15,0.086,0,0,0,0,59.135,0.059135,0,0,0,0,0.17,0.188888889,0,0,0,0,2.22,0.123333333,2.69,0.006725,0.015,0.0075,0,0,2.015,0.002878571,5.375,0.001535714,0.605,0.011,493.92,0.32928,0.15,0.013636364,0,0,0,0,0.025,0.0015625,0.005,0.002941176,0,0,0,0,6.92,0.016282353,0,0,0.01,0.002,0.605,0.008066667,13.54,0.015044444,0,0,1.11,0.074,0.95,0.043181818,5.3,0.311764706,0.61,0.035882353,0,0,0,0,0.045,0.01875,0.57,0.079166667,0.03,0.045,0.06,0,0.06,0.035,0.015,0.02,0.035,0.02,0.01,0.02,0.025,0.02,0.015,0,0.015,0.025
163,Black_olives_p25_cup,0.25,cup,33.5,grams,fresh,very low,26.8775,0.01343875,38.64,0.01932,0.2825,0.005044643,3.5875,0.044290123,2.1025,0.007008333,1.075,0.043,0,0,0,0,29.5675,0.0295675,0,0,0,0,0.085,0.094444444,0,0,0,0,1.11,0.061666667,1.345,0.0033625,0.0075,0.00375,0,0,1.0075,0.001439286,2.6875,0.000767857,0.3025,0.0055,246.96,0.16464,0.075,0.006818182,0,0,0,0,0.0125,0.00078125,0.0025,0.001470588,0,0,0,0,3.46,0.008141176,0,0,0.005,0.001,0.3025,0.004033333,6.77,0.007522222,0,0,0.555,0.037,0.475,0.021590909,2.65,0.155882353,0.305,0.017941176,0,0,0,0,0.0225,0.009375,0.285,0.039583333,0.015,0.0225,0.03,0,0.03,0.0175,0.0075,0.01,0.0175,0.01,0.005,0.01,0.0125,0.01,0.0075,0,0.0075,0.0125
164,Artichoke_p6_cup,0.6,cup,100,grams,boiled,low,84.08,0.04204,53,0.0265,2.89,0.051607143,0.34,0.004197531,11.95,0.039833333,3.88,0.1552,0.99,0.0198,0,0,21,0.021,0,0,0,0,0.13,0.144444444,0,0,0,0,0.61,0.033888889,42,0.105,0.23,0.115,0,0,73,0.104285714,286,0.081714286,0.2,0.003636364,60,0.04,0.4,0.036363636,0.05,0.041666667,0.09,0.069230769,1.11,0.069375,0.08,0.047058824,0,0,0,0,34.4,0.080941176,89,0.2225,0.24,0.048,7.4,0.098666667,1,0.001111111,0,0,0.19,0.012666667,0.08,0.003636364,0.01,0.000588235,0.14,0.008235294,0,0,0,0,0.04,0.016666667,0.11,0.015277778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Artichoke_p3_cup,0.3,cup,50,grams,boiled,low,42.04,0.02102,26.5,0.01325,1.445,0.025803571,0.17,0.002098765,5.975,0.019916667,1.94,0.0776,0.495,0.0099,0,0,10.5,0.0105,0,0,0,0,0.065,0.072222222,0,0,0,0,0.305,0.016944444,21,0.0525,0.115,0.0575,0,0,36.5,0.052142857,143,0.040857143,0.1,0.001818182,30,0.02,0.2,0.018181818,0.025,0.020833333,0.045,0.034615385,0.555,0.0346875,0.04,0.023529412,0,0,0,0,17.2,0.040470588,44.5,0.11125,0.12,0.024,3.7,0.049333333,0.5,0.000555556,0,0,0.095,0.006333333,0.04,0.001818182,0.005,0.000294118,0.07,0.004117647,0,0,0,0,0.02,0.008333333,0.055,0.007638889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Raw_mango_p6_cup,0.6,cup,100,grams,fresh,low,83.5,0.04175,60,0.03,0.82,0.014642857,0.38,0.004691358,15,0.05,1.6,0.064,13.7,0.274,0,0,11,0.011,0,0,0,0,0.11,0.122222222,0,0,0,0,0.16,0.008888889,10,0.025,0.063,0.0315,0,0,14,0.02,168,0.048,0.6,0.010909091,1,0.000666667,0.09,0.008181818,0.028,0.023333333,0.038,0.029230769,0.669,0.0418125,0.119,0.07,0,0,0,0,7.6,0.017882353,43,0.1075,0.197,0.0394,36.4,0.485333333,54,0.06,0,0,0.9,0.06,0.092,0.004181818,0.14,0.008235294,0.071,0.004176471,0,0,0,0,0,0,0,0,0.082,0.031,0.068,0,0.096,0.034,0,0.029,0.05,0.066,0.008,0.027,0.029,0.035,0.031,0.013,0.016,0.042
167,Raw_mango_p3_cup,0.3,cup,50,grams,fresh,low,41.75,0.020875,30,0.015,0.41,0.007321429,0.19,0.002345679,7.5,0.025,0.8,0.032,6.85,0.137,0,0,5.5,0.0055,0,0,0,0,0.055,0.061111111,0,0,0,0,0.08,0.004444444,5,0.0125,0.0315,0.01575,0,0,7,0.01,84,0.024,0.3,0.005454545,0.5,0.000333333,0.045,0.004090909,0.014,0.011666667,0.019,0.014615385,0.3345,0.02090625,0.0595,0.035,0,0,0,0,3.8,0.008941176,21.5,0.05375,0.0985,0.0197,18.2,0.242666667,27,0.03,0,0,0.45,0.03,0.046,0.002090909,0.07,0.004117647,0.0355,0.002088235,0,0,0,0,0,0,0,0,0.041,0.0155,0.034,0,0.048,0.017,0,0.0145,0.025,0.033,0.004,0.0135,0.0145,0.0175,0.0155,0.0065,0.008,0.021
168,tindora_p5_cup,0.5,cup,100,grams,cooked,low,0,0,21,0.0105,0.2,0.003571429,0.2,0.002469136,3.4,0.011333333,2.9,0.116,0,0,0,0,24,0.024,0,0,0,0,0,0,0,0,0,0,0.9,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Bok_choy_1_cup,1,cup,170,grams,cooked,very low,162.44,0.08122,20.4,0.0102,2.65,0.047321429,0.27,0.003333333,3.03,0.0101,1.65,0.066,1.37,0.0274,0,0,158,0.158,30.6,0.0153,0,0,0.03,0.033333333,0,0,0,0,1.77,0.098333333,18.7,0.04675,0.24,0.12,0,0,49.3,0.070428571,630.7,0.1802,0.68,0.012363636,57.8,0.038533333,0.29,0.026363636,0.05,0.041666667,0.11,0.084615385,0.73,0.045625,0.28,0.164705882,0,0,0,0,20.5,0.048235294,69.7,0.17425,0.13,0.026,44.2,0.589333333,361.76,0.401955556,0,0,0.15,0.01,0.04,0.001818182,0.02,0.001176471,0.13,0.007647059,0,0,0,0,0.07,0.029166667,0.05,0.006944444,0.15,0.15,0.19,0.03,0.64,0.08,0.05,0.15,0.15,0.16,0.02,0.08,0.05,0.08,0.09,0.03,0.05,0.12
170,Bok_choy_p5_cup,0.5,cup,85,grams,cooked,very low,81.22,0.04061,10.2,0.0051,1.325,0.023660714,0.135,0.001666667,1.515,0.00505,0.825,0.033,0.685,0.0137,0,0,79,0.079,15.3,0.00765,0,0,0.015,0.016666667,0,0,0,0,0.885,0.049166667,9.35,0.023375,0.12,0.06,0,0,24.65,0.035214286,315.35,0.0901,0.34,0.006181818,28.9,0.019266667,0.145,0.013181818,0.025,0.020833333,0.055,0.042307692,0.365,0.0228125,0.14,0.082352941,0,0,0,0,10.25,0.024117647,34.85,0.087125,0.065,0.013,22.1,0.294666667,180.88,0.200977778,0,0,0.075,0.005,0.02,0.000909091,0.01,0.000588235,0.065,0.003823529,0,0,0,0,0.035,0.014583333,0.025,0.003472222,0.075,0.075,0.095,0.015,0.32,0.04,0.025,0.075,0.075,0.08,0.01,0.04,0.025,0.04,0.045,0.015,0.025,0.06
171,Swiss_chard_1_cup,1,cup,175,grams,boiled,very low,162,0.081,35,0.0175,3.29,0.05875,0.14,0.001728395,7.23,0.0241,3.67,0.1468,1.92,0.0384,0,0,101.5,0.1015,0,0,0,0,0.29,0.322222222,0,0,0,0,3.96,0.22,150.5,0.37625,0.58,0.29,0,0,57.75,0.0825,960.75,0.2745,1.57,0.028545455,313.25,0.208833333,0.58,0.052727273,0.06,0.05,0.15,0.115384615,0.63,0.039375,0.15,0.088235294,0,0,0,0,50.23,0.118188235,15.75,0.039375,0.29,0.058,31.5,0.42,535.85,0.595388889,0,0,3.31,0.220666667,0.02,0.000909091,0.03,0.001764706,0.05,0.002941176,0,0,0,0,0.01,0.004166667,0.04,0.005555556,0,0.21,0,0,0,0,0.07,0.27,0.24,0.18,0.03,0.2,0,0,0.15,0.03,0,0.2
172,Swiss_chard_p5_cup,0.5,cup,87.5,grams,boiled,very low,81,0.0405,17.5,0.00875,1.645,0.029375,0.07,0.000864198,3.615,0.01205,1.835,0.0734,0.96,0.0192,0,0,50.75,0.05075,0,0,0,0,0.145,0.161111111,0,0,0,0,1.98,0.11,75.25,0.188125,0.29,0.145,0,0,28.875,0.04125,480.375,0.13725,0.785,0.014272727,156.625,0.104416667,0.29,0.026363636,0.03,0.025,0.075,0.057692308,0.315,0.0196875,0.075,0.044117647,0,0,0,0,25.115,0.059094118,7.875,0.0196875,0.145,0.029,15.75,0.21,267.925,0.297694444,0,0,1.655,0.110333333,0.01,0.000454545,0.015,0.000882353,0.025,0.001470588,0,0,0,0,0.005,0.002083333,0.02,0.002777778,0,0.105,0,0,0,0,0.035,0.135,0.12,0.09,0.015,0.1,0,0,0.075,0.015,0,0.1
173,Snake_gourd_1_cup,1,cup,100,grams,cooked,low,0,0,86.2,0.0431,2,0.035714286,3.9,0.048148148,12.5,0.041666667,0.6,0.024,0,0,0,0,48,0.048,0,0,0,0,0,0,0,0,8.85,0.059,0.93,0.051666667,22,0.055,0.24,0.12,0,0,34,0.048571429,0,0,0,0,33,0.022,0.77,0.07,0,0,0,0,0,0,0.18,0.105882353,0,0,0,0,0,0,0,0,0,0,23,0.306666667,90,0.1,0,0,0.15,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Snake_gourd_p5_cup,0.5,cup,50,grams,cooked,low,0,0,43.1,0.02155,1,0.017857143,1.95,0.024074074,6.25,0.020833333,0.3,0.012,0,0,0,0,24,0.024,0,0,0,0,0,0,0,0,4.425,0.0295,0.465,0.025833333,11,0.0275,0.12,0.06,0,0,17,0.024285714,0,0,0,0,16.5,0.011,0.385,0.035,0,0,0,0,0,0,0.09,0.052941176,0,0,0,0,0,0,0,0,0,0,11.5,0.153333333,45,0.05,0,0,0.075,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,White_mushroom_1_cup,1,cup,100,grams,fresh,low,92.43,0.046215,22,0.011,3.09,0.055178571,0.34,0.004197531,3.28,0.010933333,1,0.04,1.98,0.0396,0,0,3,0.003,0,0,0,0,0.32,0.355555556,0,0,0,0,0.5,0.027777778,9,0.0225,0.05,0.025,0,0,86,0.122857143,318,0.090857143,9.3,0.169090909,5,0.003333333,0.52,0.047272727,0.08,0.066666667,0.4,0.307692308,3.61,0.225625,0.1,0.058823529,0.04,0.016666667,0,0,17.3,0.040705882,17,0.0425,1.5,0.3,2.1,0.028,0,0,7,0.0175,0.01,0.000666667,0.05,0.002272727,0,0,0.6,0.035294118,0,0,0,0,0,0,0.16,0.022222222,0.2,0.08,0.2,0.01,0.34,0.09,0.06,0.08,0.12,0.11,0.03,0.09,0.08,0.09,0.11,0.04,0.04,0.23
